                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.83928,                 1.4903,                  0.863,                0.99632,                0.73792,                0.66604,                0.65566,                0.51751,                0.71696,                0.62912,                0.62542,                0.44068,                0.97554,                 2.0965,                 1.1291,                 1.0163,               0.000258,               0.000258,               0.000258
                     25,                0.82027,                 1.4648,                0.84686,                0.99005,                0.72441,                0.65656,                0.65955,                0.53197,                0.71004,                0.64592,                0.65294,                 0.4573,                0.97442,                 2.1646,                 1.1475,                 1.0193,             0.00024392,             0.00024392,             0.00024392
                     26,                0.81628,                 1.4435,                0.82216,                0.98385,                0.74004,                 0.6736,                0.66686,                0.53606,                0.72182,                0.64955,                0.63532,                0.43482,                0.97633,                 2.2334,                 1.1519,                 1.0219,             0.00022978,             0.00022978,             0.00022978
                     27,                0.80055,                 1.4469,                0.81873,                0.97892,                0.76428,                0.67511,                 0.6667,                0.53151,                0.74108,                0.63425,                 0.6279,                0.45048,                0.96238,                 2.1508,                 1.1328,                 1.0298,             0.00021563,             0.00021563,             0.00021563
                     28,                0.79788,                 1.4331,                0.80542,                0.97506,                0.73512,                0.68617,                0.67727,                0.53142,                0.72017,                0.66186,                0.65866,                0.45887,                0.96855,                 2.1458,                 1.1251,                 1.0299,             0.00020155,             0.00020155,             0.00020155
                     29,                0.79107,                 1.4022,                  0.788,                0.97052,                 0.7339,                0.66312,                0.66649,                0.52465,                 0.7293,                0.63191,                0.64516,                0.44907,                0.97769,                 2.1172,                 1.1228,                 1.0371,             0.00018757,             0.00018757,             0.00018757
                     30,                0.78704,                 1.4215,                0.77858,                0.96966,                0.73769,                0.66014,                0.65415,                0.52342,                0.72658,                 0.6471,                0.64131,                 0.4524,                0.99347,                 2.1358,                 1.1631,                  1.042,             0.00017376,             0.00017376,             0.00017376
                     31,                0.77204,                 1.3628,                0.77366,                0.96701,                0.72133,                0.66818,                0.66934,                0.53845,                0.75426,                0.61592,                0.64787,                0.46385,                0.98973,                 2.2957,                 1.1363,                 1.0329,             0.00016018,             0.00016018,             0.00016018
                     32,                0.76965,                 1.3718,                0.76208,                0.96129,                0.74857,                0.65278,                0.67424,                0.53835,                0.77263,                0.63003,                   0.66,                0.45975,                0.99194,                 2.1925,                 1.1328,                 1.0375,             0.00014686,             0.00014686,             0.00014686
                     33,                0.76462,                 1.3557,                0.75067,                  0.958,                0.73214,                0.64844,                0.65951,                0.51947,                 0.7289,                0.62668,                0.64829,                0.45474,                0.97862,                   2.19,                 1.1509,                 1.0335,             0.00013388,             0.00013388,             0.00013388
                     34,                0.75404,                 1.3577,                0.74637,                0.95883,                0.72716,                0.69355,                0.66491,                  0.533,                0.71699,                0.62903,                0.62705,                0.45387,                0.97173,                  2.147,                 1.1276,                 1.0257,             0.00012127,             0.00012127,             0.00012127
                     35,                0.74818,                 1.3428,                0.74434,                 0.9553,                0.73871,                0.64228,                0.65623,                0.52727,                0.74028,                0.62624,                0.65029,                0.45413,                0.97269,                 2.1519,                 1.1441,                 1.0293,             0.00010909,             0.00010909,             0.00010909
                     36,                0.74847,                 1.3212,                0.73406,                0.95461,                 0.7153,                0.67424,                0.66254,                0.53268,                0.74385,                0.61185,                0.63313,                0.45057,                 0.9851,                 2.2226,                 1.1295,                 1.0458,             9.7391e-05,             9.7391e-05,             9.7391e-05
                     37,                0.74219,                 1.3118,                0.72322,                0.95212,                0.72681,                0.68003,                0.66091,                 0.5302,                0.69734,                0.63796,                 0.6272,                0.45228,                0.97284,                 2.1705,                 1.1493,                 1.0295,             8.6211e-05,             8.6211e-05,             8.6211e-05
                     38,                0.72393,                 1.3185,                0.71234,                 0.9503,                 0.7341,                0.67427,                0.66005,                0.52997,                0.70987,                0.64643,                 0.6269,                0.45129,                0.99198,                  2.321,                  1.164,                 1.0475,             7.5598e-05,             7.5598e-05,             7.5598e-05
                     39,                0.74032,                 1.3155,                0.71104,                0.95066,                0.73398,                0.67092,                0.65655,                  0.527,                0.69884,                0.63142,                0.62178,                0.44906,                0.97226,                 2.1951,                 1.1157,                 1.0382,             6.5593e-05,             6.5593e-05,             6.5593e-05
                     40,                0.73819,                 1.3139,                0.71382,                0.95092,                 0.7504,                 0.6605,                0.66337,                0.52763,                0.72965,                0.63279,                0.63734,                0.45058,                0.96647,                 2.1893,                 1.1258,                   1.03,             5.6236e-05,             5.6236e-05,             5.6236e-05
                     41,                0.72182,                 1.2373,                0.66254,                0.94649,                0.71362,                0.67507,                0.65723,                0.52924,                0.68895,                0.64816,                0.62671,                0.44689,                0.96817,                 2.1998,                  1.152,                 1.0411,             4.7564e-05,             4.7564e-05,             4.7564e-05
                     42,                0.71595,                 1.2153,                 0.6541,                0.94102,                0.70309,                0.68938,                0.65656,                 0.5278,                0.69013,                0.66742,                0.63502,                0.45219,                0.96561,                 2.2417,                 1.1607,                 1.0396,             3.9611e-05,             3.9611e-05,             3.9611e-05
                     43,                0.71291,                 1.2051,                0.64388,                0.94012,                0.71238,                0.68674,                0.66335,                0.53214,                0.68477,                0.65786,                 0.6272,                0.45169,                0.98208,                 2.2994,                 1.1686,                 1.0461,             3.2409e-05,             3.2409e-05,             3.2409e-05
                     44,                0.70262,                 1.1904,                0.63271,                 0.9306,                0.71544,                0.68581,                 0.6595,                0.52951,                0.68955,                 0.6538,                0.62571,                0.45147,                0.97784,                 2.3095,                 1.1773,                  1.044,             2.5985e-05,             2.5985e-05,             2.5985e-05
                     45,                0.71214,                 1.1955,                0.63001,                0.93684,                0.72102,                0.67271,                0.66227,                0.53088,                0.70561,                0.65263,                0.64397,                0.45483,                0.98133,                 2.2687,                 1.1671,                 1.0465,             2.0366e-05,             2.0366e-05,             2.0366e-05
                     46,                0.69974,                 1.1817,                0.61996,                0.93136,                0.70031,                0.68951,                0.65752,                0.52859,                0.68429,                0.66936,                0.63886,                0.45375,                0.98018,                 2.3247,                  1.177,                 1.0454,             1.5573e-05,             1.5573e-05,             1.5573e-05
                     47,                0.69619,                 1.1785,                0.62983,                0.92467,                0.71232,                 0.6982,                0.65922,                  0.526,                0.67971,                0.66673,                0.62505,                 0.4482,                0.97454,                 2.2904,                 1.1685,                 1.0415,             1.1626e-05,             1.1626e-05,             1.1626e-05
                     48,                0.69509,                 1.1789,                0.61899,                0.92675,                0.70092,                0.69795,                0.66359,                0.53286,                0.66658,                0.66491,                0.62802,                0.44988,                0.97398,                 2.2926,                 1.1614,                 1.0412,             8.5394e-06,             8.5394e-06,             8.5394e-06
                     49,                0.69992,                 1.1732,                0.61728,                0.92597,                0.73603,                0.66029,                0.66247,                0.53236,                0.71218,                0.63772,                0.64062,                0.44914,                0.97469,                 2.3047,                 1.1686,                 1.0418,              6.326e-06,              6.326e-06,              6.326e-06
                     50,                0.68534,                 1.1752,                0.61055,                0.92887,                0.69299,                0.70406,                0.66344,                0.53202,                0.68102,                 0.6817,                0.64333,                0.45046,                 0.9738,                 2.2917,                 1.1691,                 1.0399,             4.9944e-06,             4.9944e-06,             4.9944e-06
